Country Code,Country Name,Year,Unemployment Rate,Mean Years of Schooling,Minimum Wage (PPP),GDP (PPP),Inflation Rate - CPI (%),Labor force participation rate (%),Population growth (%),"Employment rate, male (%)"
IRQ,Iraq,2021,16.173,6.780046287,608.069,548000000000.0,6.04384713,45.724,2.241273471,28.53666215
IRQ,Iraq,2022,15.511,6.780046287,625.49,634000000000.0,4.98532628,47.977,2.293696592,29.95857983
IRQ,Iraq,2023,15.447,6.780046287,624.039,660000000000.0,4.415639912,47.828,2.251488908,29.60248678
IRQ,Iraq,2024,15.524,6.780046287,732.524,666000000000.0,2.5,47.707,2.124767849,29.60248678
ISR,Israel,2015,5.176,12.96000004,1021.206,301000000000.0,3.298013663551724,69.211,1.981288976,26.01650697
ISR,Israel,2016,4.723,13.05404318,1123.485,326000000000.0,3.345815487827586,69.437,1.960348962,25.66269469
ISR,Israel,2017,4.14,13.14876875,1246.366,344000000000.0,4.207002425137931,69.298,1.938725674,25.52738889
ISR,Israel,2018,3.917,13.24418168,1267.278,357000000000.0,4.528310806206897,69.561,1.926622865,25.48888724
ISR,Israel,2019,3.731,13.34028697,1249.286,374000000000.0,4.624918080103448,69.342,1.90898264,24.5014734
ISR,Israel,2020,4.169,13.43708963,1258.519,377000000000.0,7.93913779851724,68.345,1.763679392,23.75340126
ISR,Israel,2021,4.812,13.53459474,1309.277,433000000000.0,11.345335315793102,68.026,1.681905517,23.79812705
ISR,Israel,2022,3.695,13.53459474,1430.742,512000000000.0,16.37175425637931,69.406,1.966368848,23.22737961
ISR,Israel,2023,3.596,13.53459474,1485.111,526000000000.0,15.862202858068965,69.824,3.00437406,23.19079327
ISR,Israel,2024,3.15,13.53459474,1582.856,555000000000.0,7.048335517241378,70.018,1.26518834,23.19079327
JOR,Jordan,2015,13.075,10.37688528,512.398,85588348124.0,-0.87685136,41.349,8.217983292,23.51304112
JOR,Jordan,2016,15.275,10.5302624,521.587,87534483836.0,-0.778430463,43.097,4.723252544,23.11261498
JOR,Jordan,2017,18.12,10.68363953,652.699,94825378274.0,3.323894476,44.851,2.2516003,22.92572955
JOR,Jordan,2018,18.257,10.35000038,638.186,94604332953.0,4.462311085,44.353,2.204129984,22.27300852
JOR,Jordan,2019,16.801,10.4000001,643.51,101000000000.0,0.761514047,44.563,1.983438225,20.52132086
JOR,Jordan,2020,19.213,10.44999981,646.974,104000000000.0,0.333294351,45.728,1.795432282,19.71304221
JOR,Jordan,2021,19.837,10.3799998,755.57,102000000000.0,1.346093772,44.201,1.834191627,20.48216498
JOR,Jordan,2022,18.2,10.30999978,782.926,112000000000.0,4.229155689,43.878,1.701517028,20.40441788
